Index	Eigenvalue	Lower_Bound	Upper_Bound
1.000000000000000000e+00	4.869793101864428172e+04	4.473344509440921684e+04	5.436277303047011083e+04
2.000000000000000000e+00	6.245596425360394278e+03	6.008659501418915170e+03	6.491277297114771500e+03
3.000000000000000000e+00	8.572736483844981876e+02	8.218457971996730294e+02	8.865955104734690622e+02
4.000000000000000000e+00	1.049531867015736140e+02	9.951249602619351720e+01	1.103548347509779433e+02
5.000000000000000000e+00	2.753600160357819959e+01	2.536838574280850267e+01	3.029525477938884848e+01
6.000000000000000000e+00	1.559639667864973234e+01	1.410239340232370431e+01	1.736903988222018569e+01
7.000000000000000000e+00	1.132987892802785268e+01	1.005951310486147854e+01	1.259665466275109047e+01
8.000000000000000000e+00	9.489313749403189391e+00	8.578776187992161795e+00	1.093072367080855400e+01
9.000000000000000000e+00	8.133433056650520854e+00	7.299069104111019612e+00	9.399863967325622127e+00
1.000000000000000000e+01	6.923328048756753006e+00	6.224119169329620505e+00	8.057376960366577023e+00
1.100000000000000000e+01	6.382006993664678163e+00	5.822520873596737090e+00	7.374874854004309199e+00
1.200000000000000000e+01	5.871426597798667046e+00	5.274949585238505989e+00	6.686741645842211312e+00
1.300000000000000000e+01	5.235565168935818470e+00	4.747705352255545463e+00	6.105981186303751862e+00
1.400000000000000000e+01	4.736716706753385076e+00	4.263719338010463211e+00	5.387364780222949179e+00
1.500000000000000000e+01	4.277153182539409570e+00	3.965522967133026988e+00	4.943428623800228294e+00
1.600000000000000000e+01	4.192984852661654216e+00	3.671923235095030602e+00	4.697479534831082937e+00
1.700000000000000000e+01	3.900834729997795236e+00	3.485196455326458498e+00	4.338973299336934097e+00
1.800000000000000000e+01	3.726772734877256799e+00	3.264454421203537571e+00	4.100761264796079608e+00
1.900000000000000000e+01	3.393302433740086332e+00	3.073324652915764954e+00	3.824196884255541828e+00
2.000000000000000000e+01	3.181486451024460926e+00	2.888526241173033693e+00	3.647823277596164093e+00
